Name,Genre,Year,Score,Director,Actor,Country,Duration,Link,ImageLink,Description
The Shining,Drama,1980,8.4,Stanley Kubrick,Jack Nicholson,United Kingdom,146,https://www.imdb.com/title/tt0081505/,https://imdb-api.com/images/original/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Haunted by a persistent writer's block, the aspiring author and recovering alcoholic, Jack Torrance, drags his wife, Wendy, and his gifted son, Danny, up snow-capped Colorado's secluded Overlook Hotel after taking up a job as an off-season caretaker. As the cavernous hotel shuts down for the season, the manager gives Jack a grand tour, and the facility's chef, the ageing Mr Hallorann, has a fascinating chat with Danny about a rare psychic gift called The Shining"""
The Blue Lagoon,Adventure,1980,5.8,Randal Kleiser,Brooke Shields,United States,104,https://www.imdb.com/title/tt0080453/,https://imdb-api.com/images/original/MV5BOWU2ZDIxY2UtNzM5NS00MWUwLTkxN2QtMmI3NDZkNTA2OTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_Ratio0.6751_AL_.jpg,"On a journey to San Francisco, Richard, his father and cousin Emmeline find themselves on a ship about to explode. Rushed to a lifeboat with Paddy Button, the two children escape while their father (and uncle) are on another lifeboat. In the chaos following, the lifeboats are separated. Paddy, Richard and Emmeline find themselves with no food and no water stuck in the middle of nowhere. After some time, the three come across an uncharted paradise, where Paddy quickly teaches the children fishing, hunting and building. After maybe a month or two, Paddy gets very drunk off a barrel of rum found on the island when they first arrive, and drowns in the middle of the night. Emmeline and Richard, now alone and very scared, move location and rebuild their island home. Many years later, the two young teenagers have developed a very real home, but hormones and feelings between the two strain their friendship, until Richard, who is still very determined to reach San Francisco, is let down by Emmeline when a ship passes by the island and she does not light the signal fire. Throwing her out of the home they had built together, Emmeline attempts to survive on her own but is hurt. After Richard finds her dying, he realizes how he really feels for her and manages to save her. Nature runs its course and their friendship turns into love as the couple learn about the facts of life, when Emmeline has a baby and does not understand why."
Airplane!,Comedy,1980,7.7,Jim Abrahams,Robert Hays,United States,88,https://www.imdb.com/title/tt0080339/,https://imdb-api.com/images/original/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.6751_AL_.jpg,"Drowning his sorrows after that botched mission during WWII, the traumatised former fighter pilot with a fear of flying, Ted Striker, still hasn't got over his old flame and flight attendant, Elaine Dickinson. Determined to win her back, Ted boards a domestic flight from Los Angeles to Chicago, only to come face-to-face with a severe case of in-flight food poisoning that is threatening everyone's lives. Now, with most of the passengers and the entire cockpit crew down with the food-borne illness, Striker has no other choice but to confront his inner demons and take over the control of the ungovernable aircraft with the help of a gruff air-traffic controller and his former commander. Can Ted land the plane and save them all?"
Caddyshack,Comedy,1980,7.3,Harold Ramis,Chevy Chase,United States,98,https://www.imdb.com/title/tt0080487/,https://imdb-api.com/images/original/MV5BY2I1NWE2NzctNzNkYS00Nzg5LWEwZTQtN2I3Nzk3MTQwMDY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"There's something fishy going on at the elitist Bushwood Country Club, and the scheming president of the clubhouse, Judge Elihu Smails, has something to do with it. But, the suave golf guru, Ty Webb, and the distasteful, filthy rich construction magnate, Al Czervik, are onto him. In the meantime, the young caddie, Danny Noonan, struggles to get his life back on track, and the only way to do it is by winning the demanding Caddie Day golf tournament; a prestigious competition that can earn him a scholarship from the judge himself. Now, war breaks out, and all bets are off. Will Danny ever make his dream come true? Does he know that a subterranean menace is threatening to put in jeopardy everyone's plans?"
Friday the 13th,Horror,1980,6.4,Sean S. Cunningham,Betsy Palmer,United States,95,https://www.imdb.com/title/tt0758746/,https://imdb-api.com/images/original/MV5BMTQ5ODI5NTMzN15BMl5BanBnXkFtZTcwNzY4MTYxMg@@._V1_Ratio0.6751_AL_.jpg,"A group of young adults set up tent near the abandoned summer camp where a series of gruesome murders are said to have taken place back in 1980. The perpetrator was a grieving mother, driven insane by the drowning of her child, Jason, whom she believed was neglected by the camp counselors. As legend has it, the last survivor of the attacks beheaded the woman. But then Jason came back, and now he is a vengeful and inexorable killer, wielding crossbows, swords, axes and other sharp instruments. The legend proves horribly true, as these campers quickly discover. Six weeks later, the brother of one of those campers distributes posters of his missing sister. The police believe she took off with her boyfriend; but he knows better. The brother crosses paths with an uptight young rich guy who is having his girlfriend and friends over at his parents' cabin. The brother ends up at the cabin himself just before his sister's attacker sets upon them all."
The Blues Brothers,Action,1980,7.9,John Landis,John Belushi,United States,133,https://www.imdb.com/title/tt0080455/,https://imdb-api.com/images/original/MV5BYTdlMDExOGUtN2I3MS00MjY5LWE1NTAtYzc3MzIxN2M3OWY1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.6751_AL_.jpg,"After the release of Jake Blues from prison, he and brother Elwood go to visit The Penguin"""
Indiana Jones and the Raiders of the Lost Ark,Action,1981,8.4,Steven Spielberg,Harrison Ford,United States,115,https://www.imdb.com/title/tt0082971/,https://imdb-api.com/images/original/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_Ratio0.6751_AL_.jpg,"The year is 1936. An archeology professor named Indiana Jones is venturing in the jungles of South America searching for a golden statue. Unfortunately, he sets off a deadly trap but miraculously escapes. Then, Jones hears from a museum curator named Marcus Brody about a biblical artifact called The Ark of the Covenant, which can hold the key to human existence. Jones has to venture to vast places such as Nepal and Egypt to find this artifact. However, he will have to fight his enemy Rene Belloq and a band of Nazis in order to reach it."
Body Heat,Crime,1981,7.4,Lawrence Kasdan,William Hurt,United States,113,https://www.imdb.com/title/tt0082089/,https://imdb-api.com/images/original/MV5BMmFkNWJiNzAtOTFiMi00OGQxLTgxYjctNjMxYzc4MWMxOWVkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_Ratio0.6751_AL_.jpg,Ned Racine is a seedy small town lawyer in Florida. During a searing heatwave he's picked up by married Matty Walker. A passionate affair commences but it isn't long before they realise the only thing standing in their way is Matty's rich husband Edmund. A plot hatches to kill him but will they pull it off?
An American Werewolf in London,Comedy,1981,7.5,John Landis,David Naughton,United Kingdom,97,https://www.imdb.com/title/tt0082010/,https://imdb-api.com/images/original/MV5BZGNmYWQzMGEtNDlhMS00NzEwLTkzMDItMDQ4MjkyMzRkNjFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Two American college students are on a walking tour of Britain and are attacked by a werewolf. One is killed, the other is mauled. The werewolf is killed but reverts to its human form, and the local townspeople are unwilling to acknowledge its existence. The surviving student begins to have nightmares of hunting on four feet at first but then finds that his friend and other recent victims appear to him, demanding that he commit suicide to release them from their curse, being trapped between worlds because of their unnatural deaths."
Escape from New York,Action,1981,7.2,John Carpenter,Kurt Russell,United States,99,https://www.imdb.com/title/tt0082340/,https://imdb-api.com/images/original/MV5BMTUzMTY0Nzg0MV5BMl5BanBnXkFtZTgwMDU3MzQxMDE@._V1_Ratio0.6751_AL_.jpg,"In the future, crime is out of control and New York City's Manhattan is a maximum security prison. Grabbing a bargaining chip right out of the air, convicts bring down the President's plane in bad old Gotham. Gruff Snake Plissken, a one-eyed lone warrior new to prison life, is coerced into bringing the President, and his cargo, out of this land of undesirables."
